x_bot,y_bot,z_bot,,Drill base
160.6207,220.7519,51.6659,,
158.83,223.9853,53.7513,,
160.0508,222.4598,54.0034,,
,,,,
x_mid1,y_mid1,z_mid1,,mid circle flat
163.576,218.5687,54.8107,,
162.6286,221.9757,57.4608,,
163.5531,221.3726,57.5798,,
,,,,
x_tilt1,y_tilt1,z_tilt1,,tilted circle 1
161.8146,224.8479,58.3496,,
164.2112,221.025,57.864,,
163.3063,221.5561,58.4695,,
,,,,
x_tilt2,y_tilt2,z_tilt2,,tilted cirle 2
162.7636,223.1307,60.4446,,
162.5672,222.0192,57.1413,,
162.794,222.7795,58.1292,,
,,,,
x_tip,y_tip,z_tip,,
168.0918,217.1996,64.7873,,
