x,y,z
39.049,268.3481,50.2097
39.1038,268.285,50.1547
39.149,268.2077,50.1102
39.1822,268.1185,50.0796
39.2066,268.024,50.0579
39.2156,267.9246,50.0513
39.2059,267.8257,50.0619
39.1771,267.7351,50.093
39.1295,267.6615,50.1412
39.0677,267.6122,50.2025
38.9966,267.6,50.2717
38.9285,267.6317,50.3378
38.8999,267.7245,50.3617
38.9683,267.7378,50.2899
39.0225,267.6735,50.236
39.0473,267.5794,50.2128
39.0529,267.4796,50.2082
39.0391,267.3819,50.224
38.9875,267.314,50.2762
38.916,267.3109,50.346
38.8591,267.3716,50.4016
38.8379,267.4675,50.4201
38.8823,267.5425,50.3711
38.9534,267.5447,50.3009
39.0084,267.4827,50.2449
39.0391,267.3923,50.2152
39.0455,267.2925,50.2117
39.0244,267.1973,50.2338
38.9667,267.1395,50.2915
38.8948,267.1375,50.361
38.8325,267.1854,50.4228
38.7955,267.2728,50.4542
38.7965,267.3726,50.4479
38.8634,267.4007,50.3791
38.9218,267.3436,50.3214
38.9519,267.2526,50.2929
38.9606,267.1532,50.2864
38.9396,267.0582,50.3096
38.8742,267.0201,50.3749
38.8056,267.0462,50.4429
38.7835,267.1418,50.4623
38.8222,267.2241,50.4208
38.8799,267.1629,50.3667
38.9011,267.0668,50.3491
38.8756,266.974,50.3762
38.8081,266.9451,50.4441
38.7424,266.9842,50.5085
38.7214,267.0799,50.5285
38.7445,267.1733,50.5011
38.8095,267.2088,50.434
38.8643,267.1459,50.3788
38.8857,267.05,50.3602
38.8535,266.9608,50.3918
38.7835,266.9373,50.4593
38.7145,266.9664,50.5256
38.6662,267.0425,50.5688
38.6355,267.1347,50.5927
38.6822,267.2092,50.5451
38.7464,267.1673,50.4809
38.7793,267.0778,50.4509
38.7761,266.9781,50.458
38.7047,266.9656,50.5269
38.6405,267.0108,50.5889
38.625,267.1089,50.6011
38.6436,267.2029,50.5727
38.7125,267.2163,50.5015
38.7735,267.1656,50.4407
38.8003,267.0731,50.4136
38.7889,266.9745,50.4262
38.7278,266.9222,50.4857
38.6569,266.9321,50.5555
38.6113,267.0105,50.5977
38.6124,267.1104,50.5937
38.6789,267.1379,50.5242
38.7396,267.0858,50.4643
38.7667,266.9933,50.4375
38.7614,266.8938,50.4451
38.6992,266.8465,50.5076
38.6305,266.8763,50.5739
38.6063,266.9712,50.5944
38.6407,267.0566,50.5555
38.7098,267.0777,50.4864
38.767,267.0191,50.429
38.7809,266.9209,50.4162
38.7465,266.8345,50.453
38.6773,266.8153,50.5226
38.6118,266.857,50.5856
38.5683,266.9385,50.624
38.59,267.0316,50.5946
38.6593,267.0435,50.5235
38.7221,266.9999,50.4592
38.7573,266.9124,50.4258
38.7505,266.813,50.4342
38.6902,266.76,50.4938
38.6195,266.7686,50.564
38.5622,266.8321,50.6158
38.557,266.932,50.6154
38.6202,266.9744,50.5505
38.6855,266.9424,50.4819
38.7211,266.8557,50.4468
38.7225,266.7558,50.4471
38.6823,266.6733,50.487
38.6121,266.6566,50.5562
38.5422,266.6807,50.6235
38.4967,266.7594,50.665
38.477,266.8568,50.6771
38.5192,266.9346,50.6307
38.5885,266.9284,50.5589
38.6354,266.8525,50.5136
38.6429,266.753,50.5084
38.5957,266.6801,50.5582
38.528,266.6533,50.6266
38.4572,266.6345,50.6947
